Date:  18:54; domingo; agosto 31; 2025
Model name: Prot 2
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
9646  ,1.367e+02   ,-372.71  ,18  ,197.13
9647  ,1.381e+02   ,338.29  ,18  ,-193.36
9648  ,1.391e+02   ,-372.5  ,18  ,155.83
9649  ,1.377e+02   ,-351  ,18  ,197.34
9650  ,1.378e+02   ,349.65  ,18  ,-196.45
9651  ,1.374e+02   ,360.58  ,18  ,-198.98
9652  ,1.384e+02   ,-324.54  ,18  ,195.27
9653  ,1.367e+02   ,372.49  ,18  ,-196.63
9654  ,1.426e+02   ,-248.06  ,18  ,161.55
9655  ,1.395e+02   ,-302.23  ,18  ,197.34
9656  ,1.360e+02   ,385.68  ,18  ,-193.27
9657  ,1.352e+02   ,399.86  ,18  ,-196.35
9658  ,1.396e+02   ,-279.99  ,18  ,195.19
9659  ,1.348e+02   ,410.84  ,18  ,-198.03
9660  ,1.343e+02   ,421.09  ,18  ,-197.41
9661  ,1.331e+02   ,432.52  ,18  ,-198.04
9662  ,1.404e+02   ,-207.91  ,18  ,-194.83
9663  ,1.405e+02   ,-195.22  ,18  ,197.8
9664  ,1.406e+02   ,-186.02  ,18  ,199.26
9665  ,1.406e+02   ,-176.35  ,18  ,198.13
9666  ,1.403e+02   ,-166.15  ,18  ,197.05
9667  ,1.404e+02   ,-152.35  ,18  ,193.41
9668  ,1.407e+02   ,-137.51  ,18  ,194.82
9669  ,1.412e+02   ,-125.86  ,18  ,197.77
9670  ,1.415e+02   ,-105.36  ,18  ,197.67
9671  ,1.424e+02   ,-47.137  ,18  ,197.19
9672  ,1.423e+02   ,-35.146  ,18  ,194.77
9673  ,1.424e+02   ,-21.383  ,18  ,195.57
9674  ,1.426e+02   ,-9.9385  ,18  ,197.14
9675  ,1.428e+02   ,1.2397  ,18  ,196.88
9676  ,1.426e+02   ,12.083  ,18  ,197.09
9677  ,1.423e+02   ,24.114  ,18  ,195.31
9678  ,1.423e+02   ,38.162  ,18  ,195.82
9679  ,1.424e+02   ,49.416  ,18  ,197.46
9680  ,1.450e+02   ,54.836  ,18  ,157.46
9681  ,1.418e+02   ,83.04  ,18  ,194.8
9682  ,1.416e+02   ,97.654  ,18  ,195.63
9683  ,1.415e+02   ,108.02  ,18  ,197.98
9684  ,1.414e+02   ,116.97  ,18  ,199.07
9685  ,1.404e+02   ,167.82  ,18  ,195.68
9686  ,1.406e+02   ,177.53  ,18  ,198.53
9687  ,1.405e+02   ,197.41  ,18  ,197.49
9688  ,1.404e+02   ,209.92  ,18  ,194.27
9689  ,1.403e+02   ,224.04  ,18  ,195.98
9690  ,1.405e+02   ,235.13  ,18  ,197.83
9691  ,1.404e+02   ,244.65  ,18  ,198.48
9692  ,1.430e+02   ,242.33  ,18  ,157.27
9693  ,1.395e+02   ,293.73  ,18  ,197.76
9694  ,1.394e+02   ,304.19  ,18  ,197.5
9695  ,1.388e+02   ,314.47  ,18  ,197.38
9696  ,1.379e+02   ,341.58  ,18  ,196
9697  ,1.376e+02   ,352.29  ,18  ,198.79
9698  ,1.374e+02   ,362.16  ,18  ,197.5
9699  ,1.367e+02   ,372.58  ,18  ,197.28
9700  ,1.359e+02   ,385.07  ,18  ,194.72
9701  ,1.353e+02   ,400.12  ,18  ,194.88
9702  ,1.348e+02   ,411.01  ,18  ,197.15
9703  ,1.343e+02   ,420.68  ,18  ,197.45
9704  ,1.331e+02   ,432.51  ,18  ,197.99
9705  ,1.342e+02   ,431.06  ,18  ,181.78
9706  ,1.383e+02   ,326.65  ,18  ,195.39
9707  ,1.364e+02   ,423.93  ,18  ,155.75
9708  ,1.401e+02   ,254.94  ,18  ,197.45
9709  ,1.363e+02   ,423.74  ,18  ,-156.41
9710  ,1.341e+02   ,432.47  ,18  ,-182.21
9711  ,1.405e+02   ,-243.13  ,18  ,198.21
9712  ,1.384e+02   ,-323.31  ,18  ,-195.81
9713  ,1.404e+02   ,-232.78  ,18  ,-198.58
9714  ,1.396e+02   ,-291.55  ,18  ,196.79
9715  ,1.396e+02   ,-278.58  ,18  ,-194.83
9716  ,1.380e+02   ,-339.92  ,18  ,195.04
9717  ,1.403e+02   ,-220.85  ,18  ,195.03
9718  ,1.352e+02   ,-399.94  ,18  ,195.41
9719  ,1.389e+02   ,-312.86  ,18  ,197.61
9720  ,1.347e+02   ,-410.96  ,18  ,198.61
9721  ,1.392e+02   ,370.64  ,18  ,155.4
9722  ,1.396e+02   ,282.94  ,18  ,195.35
9723  ,1.367e+02   ,397.98  ,18  ,-171.41
9724  ,1.415e+02   ,-115.51  ,18  ,198.06
9725  ,1.419e+02   ,-80.956  ,18  ,194.32
9726  ,1.423e+02   ,25.18  ,18  ,-195.34
9727  ,1.405e+02   ,-232.91  ,18  ,197.23
9728  ,1.406e+02   ,187.26  ,18  ,198.73
9729  ,1.430e+02   ,182.4  ,18  ,-160.58
9730  ,1.407e+02   ,138.69  ,18  ,194.95
9731  ,1.411e+02   ,126.81  ,18  ,197.88
9732  ,1.427e+02   ,242.14  ,18  ,-162.03
9733  ,1.410e+02   ,320.17  ,18  ,-153.71
9734  ,1.422e+02   ,70.092  ,18  ,196.69
9735  ,1.424e+02   ,59.354  ,18  ,198.17
9736  ,1.441e+02   ,117.46  ,18  ,157.01
9737  ,1.404e+02   ,147.5  ,18  ,-193.85
