Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11221  ,1.968e+02   ,-130.09  ,18  ,209
11222  ,1.971e+02   ,-120.14  ,18  ,209
11223  ,1.971e+02   ,-110.22  ,18  ,209
11224  ,1.971e+02   ,-100.23  ,18  ,209
11225  ,1.971e+02   ,-90.209  ,18  ,209
11226  ,1.972e+02   ,-80.192  ,18  ,209
11227  ,1.974e+02   ,-70.175  ,18  ,209
11228  ,1.976e+02   ,-60.158  ,18  ,209
11229  ,1.976e+02   ,-50.141  ,18  ,209
11230  ,1.975e+02   ,-40.124  ,18  ,209
11231  ,1.974e+02   ,-30.107  ,18  ,209
11232  ,1.975e+02   ,-20.09  ,18  ,209
11233  ,1.976e+02   ,-10.073  ,18  ,209
11234  ,1.977e+02   ,-0.055846  ,18  ,209
11235  ,1.977e+02   ,9.9612  ,18  ,209
11236  ,1.975e+02   ,19.978  ,18  ,209
11237  ,1.974e+02   ,29.995  ,18  ,209
11238  ,1.975e+02   ,40.012  ,18  ,209
11239  ,1.976e+02   ,50.029  ,18  ,209
11240  ,1.976e+02   ,60.046  ,18  ,209
11241  ,1.974e+02   ,70.063  ,18  ,209
11242  ,1.972e+02   ,80.08  ,18  ,209
11243  ,1.971e+02   ,90.097  ,18  ,209
11244  ,1.971e+02   ,100.11  ,18  ,209
11245  ,1.971e+02   ,110.11  ,18  ,209
11246  ,1.971e+02   ,120.06  ,18  ,209
11247  ,1.968e+02   ,130.04  ,18  ,209
11248  ,1.966e+02   ,140.05  ,18  ,209
11249  ,1.964e+02   ,150.07  ,18  ,209
11250  ,1.964e+02   ,160.09  ,18  ,209
11251  ,1.965e+02   ,170.11  ,18  ,209
11252  ,1.966e+02   ,180.11  ,18  ,209
11253  ,1.966e+02   ,190.09  ,18  ,209
11254  ,1.964e+02   ,200.08  ,18  ,209
11255  ,1.963e+02   ,210.1  ,18  ,209
11256  ,1.963e+02   ,220.12  ,18  ,209
11257  ,1.964e+02   ,230.14  ,18  ,209
11258  ,1.964e+02   ,240.09  ,18  ,209
11259  ,1.963e+02   ,249.99  ,18  ,209
11260  ,1.960e+02   ,259.96  ,18  ,209
11261  ,1.959e+02   ,269.98  ,18  ,209
11262  ,1.958e+02   ,280  ,18  ,209
11263  ,1.958e+02   ,290.02  ,18  ,209
11264  ,1.957e+02   ,299.84  ,18  ,209
11265  ,1.955e+02   ,309.59  ,18  ,209
11266  ,1.952e+02   ,319.54  ,18  ,209
11267  ,1.950e+02   ,329.55  ,18  ,209
11268  ,1.948e+02   ,339.57  ,18  ,209
11269  ,1.948e+02   ,349.59  ,18  ,209
11270  ,1.946e+02   ,359.3  ,18  ,209
11271  ,1.943e+02   ,368.93  ,18  ,209
11272  ,1.940e+02   ,378.88  ,18  ,209
11273  ,1.936e+02   ,388.9  ,18  ,209
11274  ,1.934e+02   ,398.91  ,18  ,209
11275  ,1.933e+02   ,408.93  ,18  ,209
